case_id;regiao_administrativa;cobertura_cadastral;evidencia_status;evidencia_endereco;evidencia_valor;n_evidencias;fraude_latente
CASE-00041;Plano Piloto;0.97;0;0;0;0;0
CASE-00042;Guará;0.90;0;0;1;1;0
CASE-00043;Guará;0.90;0;0;0;0;0
CASE-00044;Águas Claras;0.94;0;0;1;1;0
CASE-00045;Gama;0.76;0;0;0;0;0
CASE-00046;Plano Piloto;0.97;0;0;0;0;0
CASE-00047;Samambaia;0.62;1;0;0;1;0
CASE-00048;Ceilândia;0.55;0;0;0;0;0
CASE-00049;Sobradinho;0.70;0;0;1;1;0
CASE-00050;Ceilândia;0.55;0;0;0;0;0
CASE-00051;Gama;0.76;1;0;1;2;1
CASE-00052;Taguatinga;0.84;1;0;0;1;0
CASE-00053;Gama;0.76;1;1;1;3;0
CASE-00054;Taguatinga;0.84;0;0;0;0;0
CASE-00055;Sobradinho;0.70;0;0;1;1;0
CASE-00056;Taguatinga;0.84;0;0;0;0;0
CASE-00057;Sobradinho;0.70;0;1;0;1;0
CASE-00058;Ceilândia;0.55;0;0;0;0;0
CASE-00059;Sobradinho;0.70;0;0;0;0;0
CASE-00060;Águas Claras;0.94;1;1;1;3;1
CASE-00061;Ceilândia;0.55;0;0;0;0;0
CASE-00062;Samambaia;0.62;1;1;1;3;1
CASE-00063;Águas Claras;0.94;1;0;0;1;0
CASE-00064;Guará;0.90;0;0;0;0;0
CASE-00065;Gama;0.76;0;0;0;0;0
CASE-00066;Plano Piloto;0.97;0;0;0;0;0
CASE-00067;Samambaia;0.62;0;0;0;0;0
CASE-00068;Ceilândia;0.55;1;1;0;2;1
CASE-00069;Sobradinho;0.70;0;0;1;1;0
CASE-00070;Sobradinho;0.70;0;0;0;0;0
CASE-00071;Samambaia;0.62;0;0;0;0;0
CASE-00072;Taguatinga;0.84;0;0;0;0;0
CASE-00073;Samambaia;0.62;0;0;0;0;0
CASE-00074;Ceilândia;0.55;0;0;0;0;0
CASE-00075;Ceilândia;0.55;1;0;0;1;0
CASE-00076;Ceilândia;0.55;1;0;1;2;0
CASE-00077;Gama;0.76;0;0;0;0;0
CASE-00078;Gama;0.76;0;1;0;1;0
CASE-00079;Águas Claras;0.94;0;0;0;0;0
CASE-00080;Taguatinga;0.84;1;0;0;1;1
CASE-00081;Samambaia;0.62;0;1;0;1;0
CASE-00082;Gama;0.76;0;0;0;0;0
CASE-00083;Taguatinga;0.84;1;1;0;2;1
CASE-00084;Guará;0.90;0;0;0;0;0
CASE-00085;Águas Claras;0.94;0;1;0;1;0
CASE-00086;Gama;0.76;1;1;1;3;1
CASE-00087;Samambaia;0.62;1;0;0;1;1
CASE-00088;Plano Piloto;0.97;0;1;1;2;1
CASE-00089;Ceilândia;0.55;0;0;0;0;0
CASE-00090;Ceilândia;0.55;0;1;0;1;0
CASE-00091;Guará;0.90;0;0;0;0;0
CASE-00092;Gama;0.76;0;0;0;0;0
CASE-00093;Taguatinga;0.84;1;1;1;3;1
CASE-00094;Águas Claras;0.94;0;0;1;1;0
CASE-00095;Águas Claras;0.94;0;0;0;0;0
CASE-00096;Ceilândia;0.55;1;0;1;2;0
CASE-00097;Guará;0.90;0;0;0;0;0
CASE-00098;Sobradinho;0.70;0;0;0;0;0
CASE-00099;Águas Claras;0.94;0;0;0;0;0
CASE-00100;Plano Piloto;0.97;0;0;0;0;0
CASE-00101;Águas Claras;0.94;0;0;0;0;0
CASE-00102;Ceilândia;0.55;0;0;1;1;0
CASE-00103;Ceilândia;0.55;0;0;0;0;0
CASE-00104;Plano Piloto;0.97;1;1;0;2;1
CASE-00105;Gama;0.76;0;0;0;0;0
CASE-00106;Taguatinga;0.84;1;1;1;3;1
CASE-00107;Ceilândia;0.55;0;1;0;1;0
CASE-00108;Taguatinga;0.84;1;1;0;2;1
CASE-00109;Ceilândia;0.55;0;0;0;0;0
CASE-00110;Plano Piloto;0.97;1;1;1;3;1
CASE-00111;Gama;0.76;0;1;0;1;0
CASE-00112;Gama;0.76;0;0;0;0;0
CASE-00113;Ceilândia;0.55;0;1;0;1;0
CASE-00114;Sobradinho;0.70;0;0;1;1;0
CASE-00115;Ceilândia;0.55;0;1;0;1;0
CASE-00116;Águas Claras;0.94;0;0;0;0;0
CASE-00117;Plano Piloto;0.97;0;1;0;1;0
CASE-00118;Plano Piloto;0.97;1;1;1;3;1
CASE-00119;Taguatinga;0.84;0;0;0;0;0
CASE-00120;Plano Piloto;0.97;1;0;0;1;0
CASE-00121;Samambaia;0.62;1;0;1;2;0
CASE-00122;Samambaia;0.62;0;0;0;0;0
CASE-00123;Águas Claras;0.94;0;0;0;0;0
CASE-00124;Gama;0.76;0;0;0;0;0
CASE-00125;Ceilândia;0.55;0;0;0;0;0
CASE-00126;Samambaia;0.62;0;0;0;0;0
CASE-00127;Plano Piloto;0.97;0;1;0;1;0
CASE-00128;Gama;0.76;0;0;0;0;0
CASE-00129;Gama;0.76;1;0;0;1;0
CASE-00130;Taguatinga;0.84;0;0;1;1;1
CASE-00131;Guará;0.90;0;0;0;0;0
CASE-00132;Plano Piloto;0.97;0;0;1;1;0
CASE-00133;Águas Claras;0.94;1;0;0;1;0
CASE-00134;Águas Claras;0.94;0;0;0;0;0
CASE-00135;Taguatinga;0.84;0;0;0;0;0
CASE-00136;Plano Piloto;0.97;0;0;0;0;0
CASE-00137;Samambaia;0.62;0;0;0;0;0
CASE-00138;Ceilândia;0.55;0;1;0;1;0
CASE-00139;Águas Claras;0.94;0;1;0;1;1
CASE-00140;Sobradinho;0.70;0;1;0;1;0
CASE-00141;Sobradinho;0.70;0;0;0;0;0
CASE-00142;Gama;0.76;0;0;0;0;0
CASE-00143;Ceilândia;0.55;0;0;0;0;0
CASE-00144;Samambaia;0.62;0;1;0;1;0
CASE-00145;Plano Piloto;0.97;0;1;0;1;1
CASE-00146;Gama;0.76;0;0;0;0;0
CASE-00147;Águas Claras;0.94;0;0;1;1;0
CASE-00148;Ceilândia;0.55;0;1;0;1;0
CASE-00149;Águas Claras;0.94;0;0;1;1;0
CASE-00150;Ceilândia;0.55;0;1;0;1;0
CASE-00151;Sobradinho;0.70;0;1;0;1;1
CASE-00152;Samambaia;0.62;0;1;0;1;0
CASE-00153;Sobradinho;0.70;0;0;0;0;0
CASE-00154;Águas Claras;0.94;0;0;0;0;0
CASE-00155;Águas Claras;0.94;0;0;0;0;0
CASE-00156;Águas Claras;0.94;0;0;0;0;0
CASE-00157;Guará;0.90;0;0;0;0;0
CASE-00158;Ceilândia;0.55;1;0;0;1;1
CASE-00159;Águas Claras;0.94;0;0;1;1;0
CASE-00160;Gama;0.76;0;1;0;1;0
CASE-00161;Águas Claras;0.94;0;0;1;1;0
CASE-00162;Taguatinga;0.84;0;1;0;1;0
CASE-00163;Gama;0.76;0;0;0;0;0
CASE-00164;Gama;0.76;1;1;0;2;0
CASE-00165;Plano Piloto;0.97;0;0;0;0;0
CASE-00166;Taguatinga;0.84;0;1;0;1;1
CASE-00167;Sobradinho;0.70;0;1;0;1;0
CASE-00168;Plano Piloto;0.97;0;0;1;1;0
CASE-00169;Águas Claras;0.94;0;0;0;0;0
CASE-00170;Taguatinga;0.84;0;1;0;1;0
CASE-00171;Águas Claras;0.94;0;0;0;0;0
CASE-00172;Gama;0.76;0;0;0;0;0
CASE-00173;Sobradinho;0.70;0;0;0;0;0
CASE-00174;Águas Claras;0.94;0;0;0;0;0
CASE-00175;Ceilândia;0.55;0;1;1;2;0
CASE-00176;Águas Claras;0.94;0;0;0;0;0
CASE-00177;Águas Claras;0.94;0;0;0;0;0
CASE-00178;Sobradinho;0.70;1;1;0;2;1
CASE-00179;Ceilândia;0.55;0;0;1;1;0
CASE-00180;Sobradinho;0.70;0;0;1;1;0
CASE-00181;Samambaia;0.62;1;1;1;3;1
CASE-00182;Águas Claras;0.94;0;0;0;0;0
CASE-00183;Águas Claras;0.94;0;1;0;1;0
CASE-00184;Plano Piloto;0.97;0;0;0;0;0
CASE-00185;Samambaia;0.62;0;0;0;0;0
CASE-00186;Águas Claras;0.94;0;0;0;0;0
CASE-00187;Ceilândia;0.55;0;0;0;0;0
CASE-00188;Sobradinho;0.70;0;0;0;0;0
CASE-00189;Samambaia;0.62;0;0;0;0;0
CASE-00190;Sobradinho;0.70;0;0;0;0;0
CASE-00191;Samambaia;0.62;1;0;0;1;0
CASE-00192;Gama;0.76;1;1;0;2;0
CASE-00193;Sobradinho;0.70;0;0;0;0;0
CASE-00194;Guará;0.90;1;1;1;3;1
CASE-00195;Samambaia;0.62;0;0;0;0;0
CASE-00196;Sobradinho;0.70;1;0;0;1;0
CASE-00197;Guará;0.90;0;0;0;0;0
CASE-00198;Samambaia;0.62;0;0;1;1;0
CASE-00199;Ceilândia;0.55;0;0;0;0;0
CASE-00200;Águas Claras;0.94;0;0;1;1;0
CASE-00201;Guará;0.90;1;0;0;1;0
CASE-00202;Guará;0.90;0;1;0;1;0
CASE-00203;Sobradinho;0.70;1;0;1;2;1
CASE-00204;Guará;0.90;0;0;0;0;0
CASE-00205;Gama;0.76;0;0;0;0;0
CASE-00206;Plano Piloto;0.97;0;0;0;0;0
CASE-00207;Plano Piloto;0.97;0;0;0;0;0
CASE-00208;Taguatinga;0.84;1;0;0;1;0
CASE-00209;Ceilândia;0.55;0;1;0;1;0
CASE-00210;Samambaia;0.62;0;0;0;0;0
CASE-00211;Águas Claras;0.94;0;0;0;0;0
CASE-00212;Águas Claras;0.94;1;1;1;3;1
CASE-00213;Águas Claras;0.94;0;1;0;1;0
CASE-00214;Sobradinho;0.70;0;0;0;0;0
CASE-00215;Samambaia;0.62;0;0;1;1;0
CASE-00216;Gama;0.76;1;1;0;2;0
CASE-00217;Águas Claras;0.94;1;0;0;1;0
CASE-00218;Ceilândia;0.55;0;0;0;0;0
CASE-00219;Samambaia;0.62;0;1;1;2;1
CASE-00220;Samambaia;0.62;1;0;0;1;0
CASE-00221;Sobradinho;0.70;1;1;0;2;1
CASE-00222;Plano Piloto;0.97;0;1;0;1;0
CASE-00223;Sobradinho;0.70;0;0;0;0;0
CASE-00224;Samambaia;0.62;0;0;0;0;0
CASE-00225;Ceilândia;0.55;0;1;0;1;0
CASE-00226;Águas Claras;0.94;1;0;1;2;0
CASE-00227;Plano Piloto;0.97;0;0;1;1;0
CASE-00228;Sobradinho;0.70;0;0;0;0;0
CASE-00229;Samambaia;0.62;0;0;0;0;0
CASE-00230;Gama;0.76;0;0;0;0;0
CASE-00231;Sobradinho;0.70;0;1;0;1;0
CASE-00232;Ceilândia;0.55;0;1;0;1;0
CASE-00233;Sobradinho;0.70;0;0;1;1;0
CASE-00234;Ceilândia;0.55;1;1;0;2;0
CASE-00235;Ceilândia;0.55;0;1;0;1;0
CASE-00236;Gama;0.76;0;0;0;0;0
CASE-00237;Samambaia;0.62;0;0;0;0;0
CASE-00238;Plano Piloto;0.97;0;1;1;2;1
CASE-00239;Águas Claras;0.94;0;0;0;0;0
CASE-00240;Plano Piloto;0.97;0;0;0;0;0
CASE-00241;Gama;0.76;0;1;1;2;1
CASE-00242;Samambaia;0.62;0;0;1;1;1
CASE-00243;Taguatinga;0.84;0;0;0;0;0
CASE-00244;Sobradinho;0.70;0;0;0;0;0
CASE-00245;Taguatinga;0.84;1;1;1;3;1
CASE-00246;Guará;0.90;0;1;0;1;0
CASE-00247;Guará;0.90;0;0;0;0;0
CASE-00248;Plano Piloto;0.97;0;1;0;1;0
CASE-00249;Taguatinga;0.84;0;1;0;1;1
CASE-00250;Guará;0.90;0;0;0;0;0
CASE-00251;Plano Piloto;0.97;0;1;0;1;0
CASE-00252;Ceilândia;0.55;0;0;1;1;0
CASE-00253;Taguatinga;0.84;1;1;0;2;0
CASE-00254;Plano Piloto;0.97;1;1;0;2;0
CASE-00255;Taguatinga;0.84;1;0;0;1;0
CASE-00256;Gama;0.76;0;0;0;0;0
CASE-00257;Guará;0.90;0;1;0;1;1
CASE-00258;Guará;0.90;0;1;1;2;1
CASE-00259;Ceilândia;0.55;0;0;0;0;0
CASE-00260;Gama;0.76;1;0;0;1;0
CASE-00261;Taguatinga;0.84;0;1;0;1;0
CASE-00262;Águas Claras;0.94;1;0;0;1;0
CASE-00263;Águas Claras;0.94;0;1;1;2;1
CASE-00264;Águas Claras;0.94;0;1;0;1;1
CASE-00265;Plano Piloto;0.97;0;1;0;1;0
CASE-00266;Guará;0.90;0;1;1;2;1
CASE-00267;Plano Piloto;0.97;0;0;0;0;0
CASE-00268;Taguatinga;0.84;0;0;0;0;0
CASE-00269;Sobradinho;0.70;0;0;0;0;0
CASE-00270;Samambaia;0.62;0;1;0;1;0
CASE-00271;Ceilândia;0.55;1;0;1;2;1
CASE-00272;Gama;0.76;0;0;0;0;0
CASE-00273;Sobradinho;0.70;1;1;0;2;0
CASE-00274;Águas Claras;0.94;0;1;0;1;0
CASE-00275;Guará;0.90;0;0;0;0;0
CASE-00276;Ceilândia;0.55;1;1;0;2;0
CASE-00277;Taguatinga;0.84;0;1;0;1;0
CASE-00278;Samambaia;0.62;0;0;0;0;0
CASE-00279;Sobradinho;0.70;0;0;0;0;0
CASE-00280;Taguatinga;0.84;0;1;0;1;0
CASE-00281;Plano Piloto;0.97;0;1;1;2;1
CASE-00282;Ceilândia;0.55;0;1;0;1;0
CASE-00283;Águas Claras;0.94;1;0;0;1;0
CASE-00284;Guará;0.90;1;1;1;3;1
CASE-00285;Taguatinga;0.84;0;0;0;0;0
CASE-00286;Samambaia;0.62;0;0;0;0;0
CASE-00287;Gama;0.76;0;0;0;0;0
CASE-00288;Guará;0.90;0;0;0;0;0
CASE-00289;Ceilândia;0.55;0;0;0;0;0
CASE-00290;Ceilândia;0.55;0;0;0;0;0
CASE-00291;Guará;0.90;0;0;1;1;0
CASE-00292;Samambaia;0.62;0;0;0;0;0
CASE-00293;Gama;0.76;0;0;0;0;0
CASE-00294;Ceilândia;0.55;0;0;0;0;0
CASE-00295;Taguatinga;0.84;1;0;0;1;0
CASE-00296;Guará;0.90;0;0;0;0;0
CASE-00297;Guará;0.90;0;0;1;1;1
CASE-00298;Plano Piloto;0.97;0;0;0;0;0
CASE-00299;Sobradinho;0.70;0;0;0;0;0
CASE-00300;Plano Piloto;0.97;1;1;0;2;1
CASE-00301;Taguatinga;0.84;0;0;0;0;0
CASE-00302;Gama;0.76;0;0;0;0;0
CASE-00303;Águas Claras;0.94;0;0;0;0;0
CASE-00304;Taguatinga;0.84;0;0;0;0;0
CASE-00305;Samambaia;0.62;0;1;0;1;0
CASE-00306;Taguatinga;0.84;0;1;1;2;0
CASE-00307;Plano Piloto;0.97;0;0;0;0;1
CASE-00308;Plano Piloto;0.97;0;1;0;1;0
CASE-00309;Guará;0.90;0;0;0;0;0
CASE-00310;Samambaia;0.62;1;0;0;1;0
CASE-00311;Taguatinga;0.84;0;1;1;2;0
CASE-00312;Plano Piloto;0.97;1;0;0;1;1
CASE-00313;Ceilândia;0.55;0;0;0;0;0
CASE-00314;Guará;0.90;0;0;0;0;0
CASE-00315;Águas Claras;0.94;0;1;1;2;1
CASE-00316;Guará;0.90;0;0;0;0;0
CASE-00317;Águas Claras;0.94;0;0;0;0;0
CASE-00318;Taguatinga;0.84;0;0;0;0;0
CASE-00319;Águas Claras;0.94;0;0;0;0;0
CASE-00320;Plano Piloto;0.97;0;0;0;0;0
CASE-00321;Águas Claras;0.94;1;0;0;1;0
CASE-00322;Guará;0.90;0;0;0;0;0
CASE-00323;Plano Piloto;0.97;0;0;0;0;0
CASE-00324;Sobradinho;0.70;1;1;0;2;0
CASE-00325;Plano Piloto;0.97;0;0;1;1;0
CASE-00326;Guará;0.90;0;0;0;0;0
CASE-00327;Taguatinga;0.84;0;0;0;0;0
CASE-00328;Ceilândia;0.55;0;0;0;0;0
CASE-00329;Águas Claras;0.94;1;0;1;2;0
CASE-00330;Samambaia;0.62;1;1;0;2;0
CASE-00331;Samambaia;0.62;0;0;0;0;0
CASE-00332;Ceilândia;0.55;0;1;0;1;0
CASE-00333;Ceilândia;0.55;1;1;0;2;0
CASE-00334;Taguatinga;0.84;1;0;1;2;1
CASE-00335;Sobradinho;0.70;0;0;0;0;0
CASE-00336;Samambaia;0.62;0;0;0;0;0
CASE-00337;Guará;0.90;0;0;1;1;0
CASE-00338;Gama;0.76;0;0;0;0;0
CASE-00339;Plano Piloto;0.97;0;1;1;2;1
CASE-00340;Águas Claras;0.94;0;0;0;0;0
CASE-00341;Plano Piloto;0.97;0;0;0;0;0
CASE-00342;Sobradinho;0.70;1;0;0;1;0
CASE-00343;Plano Piloto;0.97;0;0;0;0;0
CASE-00344;Plano Piloto;0.97;0;0;0;0;0
CASE-00345;Águas Claras;0.94;0;0;0;0;0
CASE-00346;Ceilândia;0.55;0;1;0;1;0
CASE-00347;Gama;0.76;0;0;0;0;0
CASE-00348;Águas Claras;0.94;1;0;1;2;0
CASE-00349;Taguatinga;0.84;0;0;1;1;0
CASE-00350;Sobradinho;0.70;0;1;0;1;0
CASE-00351;Taguatinga;0.84;1;0;1;2;0
CASE-00352;Taguatinga;0.84;0;0;0;0;0
CASE-00353;Guará;0.90;0;0;0;0;0
CASE-00354;Gama;0.76;1;1;1;3;1
CASE-00355;Ceilândia;0.55;1;0;0;1;0
CASE-00356;Gama;0.76;1;1;0;2;0
CASE-00357;Plano Piloto;0.97;0;0;0;0;0
CASE-00358;Ceilândia;0.55;0;1;0;1;0
CASE-00359;Guará;0.90;0;1;0;1;0
CASE-00360;Ceilândia;0.55;0;0;0;0;0
CASE-00361;Plano Piloto;0.97;0;1;0;1;0
CASE-00362;Samambaia;0.62;0;0;0;0;0
CASE-00363;Sobradinho;0.70;0;0;1;1;0
CASE-00364;Ceilândia;0.55;0;0;0;0;0
CASE-00365;Guará;0.90;1;0;0;1;0
CASE-00366;Taguatinga;0.84;1;0;1;2;0
CASE-00367;Taguatinga;0.84;0;0;0;0;0
CASE-00368;Guará;0.90;1;1;0;2;1
CASE-00369;Ceilândia;0.55;0;0;0;0;0
CASE-00370;Sobradinho;0.70;0;0;1;1;0
CASE-00371;Ceilândia;0.55;0;1;0;1;0
CASE-00372;Águas Claras;0.94;0;0;0;0;0
CASE-00373;Sobradinho;0.70;0;1;0;1;0
CASE-00374;Plano Piloto;0.97;0;0;0;0;0
CASE-00375;Plano Piloto;0.97;0;0;1;1;0
CASE-00376;Águas Claras;0.94;1;1;0;2;0
CASE-00377;Guará;0.90;0;1;0;1;0
CASE-00378;Taguatinga;0.84;0;0;0;0;0
CASE-00379;Guará;0.90;0;0;0;0;0
CASE-00380;Ceilândia;0.55;0;1;0;1;0
CASE-00381;Plano Piloto;0.97;0;1;0;1;0
CASE-00382;Sobradinho;0.70;0;0;0;0;0
CASE-00383;Plano Piloto;0.97;0;0;1;1;0
CASE-00384;Plano Piloto;0.97;0;0;0;0;0
CASE-00385;Plano Piloto;0.97;0;0;0;0;0
CASE-00386;Gama;0.76;1;1;1;3;1
CASE-00387;Águas Claras;0.94;1;0;0;1;0
CASE-00388;Sobradinho;0.70;0;0;0;0;0
CASE-00389;Plano Piloto;0.97;0;0;0;0;0
CASE-00390;Taguatinga;0.84;0;0;1;1;0
CASE-00391;Ceilândia;0.55;0;1;0;1;0
CASE-00392;Samambaia;0.62;1;0;0;1;0
CASE-00393;Taguatinga;0.84;0;0;0;0;0
CASE-00394;Taguatinga;0.84;0;0;0;0;0
CASE-00395;Guará;0.90;0;1;0;1;0
CASE-00396;Guará;0.90;0;0;0;0;0
CASE-00397;Gama;0.76;1;0;0;1;0
CASE-00398;Ceilândia;0.55;0;0;0;0;0
CASE-00399;Taguatinga;0.84;0;1;0;1;0
CASE-00400;Guará;0.90;0;1;0;1;1
CASE-00401;Samambaia;0.62;0;0;0;0;0
CASE-00402;Ceilândia;0.55;0;0;1;1;0
CASE-00403;Ceilândia;0.55;1;0;0;1;0
CASE-00404;Plano Piloto;0.97;0;0;0;0;0
CASE-00405;Samambaia;0.62;0;1;0;1;0
CASE-00406;Taguatinga;0.84;0;1;1;2;0
CASE-00407;Taguatinga;0.84;0;0;0;0;0
CASE-00408;Plano Piloto;0.97;1;1;1;3;0
CASE-00409;Sobradinho;0.70;0;0;1;1;0
CASE-00410;Sobradinho;0.70;0;0;0;0;0
CASE-00411;Taguatinga;0.84;0;0;0;0;0
CASE-00412;Plano Piloto;0.97;1;1;1;3;1
CASE-00413;Plano Piloto;0.97;0;0;0;0;0
CASE-00414;Gama;0.76;1;1;0;2;1
CASE-00415;Guará;0.90;0;0;0;0;0
CASE-00416;Guará;0.90;1;1;1;3;1
CASE-00417;Taguatinga;0.84;0;0;0;0;0
CASE-00418;Plano Piloto;0.97;0;0;1;1;0
CASE-00419;Gama;0.76;0;0;0;0;0
CASE-00420;Sobradinho;0.70;1;1;0;2;1
CASE-00421;Plano Piloto;0.97;1;0;0;1;0
CASE-00422;Águas Claras;0.94;1;0;1;2;1
CASE-00423;Sobradinho;0.70;0;1;1;2;1
CASE-00424;Sobradinho;0.70;1;0;0;1;0
CASE-00425;Sobradinho;0.70;0;0;0;0;0
CASE-00426;Guará;0.90;1;0;0;1;0
CASE-00427;Sobradinho;0.70;1;1;1;3;1
CASE-00428;Águas Claras;0.94;0;0;0;0;0
CASE-00429;Samambaia;0.62;0;1;0;1;0
CASE-00430;Plano Piloto;0.97;0;0;0;0;0
CASE-00431;Ceilândia;0.55;0;1;1;2;1
CASE-00432;Guará;0.90;1;0;0;1;1
CASE-00433;Samambaia;0.62;0;1;0;1;0
CASE-00434;Taguatinga;0.84;0;1;0;1;0
CASE-00435;Samambaia;0.62;0;0;0;0;0
CASE-00436;Águas Claras;0.94;0;0;0;0;0
CASE-00437;Águas Claras;0.94;1;0;0;1;0
CASE-00438;Plano Piloto;0.97;0;0;0;0;0
CASE-00439;Samambaia;0.62;0;1;0;1;0
CASE-00440;Guará;0.90;0;0;0;0;0
CASE-00441;Guará;0.90;0;0;0;0;0
CASE-00442;Ceilândia;0.55;0;1;0;1;0
CASE-00443;Sobradinho;0.70;0;0;0;0;0
CASE-00444;Sobradinho;0.70;0;1;0;1;0
CASE-00445;Plano Piloto;0.97;0;0;0;0;0
CASE-00446;Sobradinho;0.70;0;0;1;1;0
CASE-00447;Guará;0.90;0;0;0;0;0
CASE-00448;Taguatinga;0.84;0;0;0;0;0
CASE-00449;Samambaia;0.62;0;0;0;0;0
CASE-00450;Taguatinga;0.84;0;0;0;0;0
CASE-00451;Ceilândia;0.55;0;0;0;0;0
CASE-00452;Plano Piloto;0.97;0;0;0;0;0
CASE-00453;Plano Piloto;0.97;0;0;0;0;1
CASE-00454;Samambaia;0.62;0;1;1;2;0
CASE-00455;Gama;0.76;0;0;0;0;0
CASE-00456;Sobradinho;0.70;0;0;0;0;0
CASE-00457;Plano Piloto;0.97;0;0;0;0;0
CASE-00458;Ceilândia;0.55;0;1;1;2;1
CASE-00459;Sobradinho;0.70;0;0;0;0;0
CASE-00460;Guará;0.90;0;1;0;1;0
CASE-00461;Samambaia;0.62;1;1;0;2;0
CASE-00462;Águas Claras;0.94;1;0;0;1;0
CASE-00463;Águas Claras;0.94;0;0;0;0;0
CASE-00464;Taguatinga;0.84;0;0;0;0;0
CASE-00465;Guará;0.90;1;0;1;2;0
CASE-00466;Ceilândia;0.55;0;0;0;0;0
CASE-00467;Sobradinho;0.70;1;1;0;2;1
CASE-00468;Guará;0.90;0;1;0;1;0
CASE-00469;Sobradinho;0.70;0;0;1;1;0
CASE-00470;Gama;0.76;0;0;0;0;0
CASE-00471;Gama;0.76;0;0;0;0;0
CASE-00472;Plano Piloto;0.97;1;1;1;3;1
CASE-00473;Samambaia;0.62;0;1;1;2;0
CASE-00474;Gama;0.76;0;0;0;0;0
CASE-00475;Guará;0.90;0;0;0;0;0
CASE-00476;Plano Piloto;0.97;0;0;1;1;1
CASE-00477;Ceilândia;0.55;0;1;0;1;0
CASE-00478;Plano Piloto;0.97;0;0;0;0;0
CASE-00479;Sobradinho;0.70;0;1;1;2;0
CASE-00480;Samambaia;0.62;0;0;0;0;0
CASE-00481;Sobradinho;0.70;0;0;0;0;0
CASE-00482;Samambaia;0.62;0;1;0;1;0
CASE-00483;Águas Claras;0.94;0;0;1;1;0
CASE-00484;Samambaia;0.62;1;0;1;2;1
CASE-00485;Gama;0.76;0;0;1;1;0
CASE-00486;Gama;0.76;1;0;0;1;0
CASE-00487;Ceilândia;0.55;0;1;0;1;0
CASE-00488;Sobradinho;0.70;1;1;0;2;0
CASE-00489;Guará;0.90;1;0;0;1;0
CASE-00490;Guará;0.90;1;0;0;1;0
CASE-00491;Samambaia;0.62;0;0;0;0;0
CASE-00492;Gama;0.76;0;1;0;1;0
CASE-00493;Ceilândia;0.55;0;1;0;1;0
CASE-00494;Plano Piloto;0.97;0;0;0;0;0
CASE-00495;Plano Piloto;0.97;0;0;1;1;0
CASE-00496;Sobradinho;0.70;0;1;0;1;0
CASE-00497;Sobradinho;0.70;1;1;0;2;1
CASE-00498;Samambaia;0.62;0;1;0;1;0
CASE-00499;Guará;0.90;0;0;0;0;0
CASE-00500;Gama;0.76;0;0;0;0;0
CASE-00501;Plano Piloto;0.97;0;0;0;0;0
CASE-00502;Taguatinga;0.84;0;0;0;0;1
CASE-00503;Guará;0.90;0;0;0;0;0
CASE-00504;Sobradinho;0.70;1;1;0;2;1
CASE-00505;Gama;0.76;0;1;0;1;0
CASE-00506;Guará;0.90;0;1;0;1;1
CASE-00507;Gama;0.76;0;1;0;1;0
