case_id;cnpj_sintetico;razao_social_sintetica;regiao_administrativa;endereco_declarado;endereco_referencia;status_declarado;status_referencia;valor_declarado;valor_referencia;tipo_cenario;evidencia_status;evidencia_endereco;evidencia_valor;severidade;ground_truth_inconsistencia
CASE-0033;SYN-CNPJ-000033;Empresa Sintética 0033;Águas Claras;Setor Sintético D, Q04, L034, Águas Claras, DF;Setor Sintético D, Q04, L034, Águas Claras, DF;ATIVA;ATIVA;10274.8;10275.31;ambiguo;0;0;0;baixa;0
CASE-0034;SYN-CNPJ-000034;Empresa Sintética 0034;Sobradinho;Setor Sintético Divergente, Q10, L035, Sobradinho, DF;Setor Sintético E, Q05, L035, Sobradinho, DF;BAIXADA;ATIVA;3944.21;6573.69;multiplas;1;1;1;alta;1
CASE-0035;SYN-CNPJ-000035;Empresa Sintética 0035;Águas Claras;Setor Sintético F, Q06, L036, Águas Claras, DF;Setor Sintético F, Q06, L036, Águas Claras, DF;ATIVA;ATIVA;676.18;676.18;consistente;0;0;0;nenhuma;0
CASE-0036;SYN-CNPJ-000036;Empresa Sintética 0036;Plano Piloto;Setor Sintético A, Q07, L037, Plano Piloto, DF;Setor Sintético A, Q07, L037, Plano Piloto, DF;ATIVA;ATIVA;1398.35;2151.31;valor;0;0;1;media;1
CASE-0037;SYN-CNPJ-000037;Empresa Sintética 0037;Taguatinga;Setor Sintético Divergente, Q13, L038, Taguatinga, DF;Setor Sintético B, Q08, L038, Taguatinga, DF;BAIXADA;ATIVA;10617.9;7322.69;multiplas;1;1;1;alta;1
CASE-0038;SYN-CNPJ-000038;Empresa Sintética 0038;Ceilândia;Setor Sintético C, Q09, L039, Ceilândia, DF;Setor Sintético C, Q09, L039, Ceilândia, DF;BAIXADA;BAIXADA;6453.43;6453.43;consistente;0;0;0;nenhuma;0
CASE-0039;SYN-CNPJ-000039;Empresa Sintética 0039;Gama;Setor Sintético D, Q10, L040, Gama, DF;Setor Sintético D, Q10, L040, Gama, DF;BAIXADA;ATIVA;2810.98;2810.98;cadastral;1;0;0;media;1
CASE-0040;SYN-CNPJ-000040;Empresa Sintética 0040;Samambaia;Setor Sintético Divergente, Q16, L041, Samambaia, DF;Setor Sintético E, Q11, L041, Samambaia, DF;BAIXADA;BAIXADA;10572.01;10572.01;territorial;0;1;0;media;1
CASE-0041;SYN-CNPJ-000041;Empresa Sintética 0041;Plano Piloto;Setor Sintético Divergente, Q17, L042, Plano Piloto, DF;Setor Sintético F, Q12, L042, Plano Piloto, DF;BAIXADA;ATIVA;2878.26;1985.01;multiplas;1;1;1;alta;1
CASE-0042;SYN-CNPJ-000042;Empresa Sintética 0042;Taguatinga;Setor Sintético Divergente, Q18, L043, Taguatinga, DF;Setor Sintético A, Q13, L043, Taguatinga, DF;BAIXADA;ATIVA;7531.24;5193.96;multiplas;1;1;1;alta;1
CASE-0043;SYN-CNPJ-000043;Empresa Sintética 0043;Ceilândia;Setor Sintético B, Q14, L044, Ceilândia, DF;Setor Sintético B, Q14, L044, Ceilândia, DF;ATIVA;ATIVA;11834.39;11834.39;consistente;0;0;0;nenhuma;0
CASE-0044;SYN-CNPJ-000044;Empresa Sintética 0044;Taguatinga;Setor Sintético Divergente, Q20, L045, Taguatinga, DF;Setor Sintético C, Q15, L045, Taguatinga, DF;ATIVA;BAIXADA;12177.92;20296.54;multiplas;1;1;1;alta;1
CASE-0045;SYN-CNPJ-000045;Empresa Sintética 0045;Plano Piloto;Setor Sintético D, Q16, L046, Plano Piloto, DF;Setor Sintético D, Q16, L046, Plano Piloto, DF;ATIVA;ATIVA;23195.99;23195.99;consistente;0;0;0;nenhuma;0
CASE-0046;SYN-CNPJ-000046;Empresa Sintética 0046;Ceilândia;Setor Sintético Divergente, Q22, L047, Ceilândia, DF;Setor Sintético E, Q17, L047, Ceilândia, DF;ATIVA;BAIXADA;7438.93;12398.21;multiplas;1;1;1;alta;1
CASE-0047;SYN-CNPJ-000047;Empresa Sintética 0047;Plano Piloto;Setor Sintético Divergente, Q23, L048, Plano Piloto, DF;Setor Sintético F, Q18, L048, Plano Piloto, DF;BAIXADA;ATIVA;14188.02;9784.84;multiplas;1;1;1;alta;1
CASE-0048;SYN-CNPJ-000048;Empresa Sintética 0048;Sobradinho;Setor Sintético A, Q19, L049, Sobradinho, DF;Setor Sintético A, Q19, L049, Sobradinho, DF;ATIVA;ATIVA;10863.68;10863.68;consistente;0;0;0;nenhuma;0
CASE-0049;SYN-CNPJ-000049;Empresa Sintética 0049;Sobradinho;Set. Sintético B, Q20, L050, Sobradinho, DF;Setor Sintético B, Q20, L050, Sobradinho, DF;ATIVA;ATIVA;5150.73;5152.5;ambiguo;0;0;0;baixa;0
CASE-0050;SYN-CNPJ-000050;Empresa Sintética 0050;Plano Piloto;Setor Sintético C, Q21, L051, Plano Piloto, DF;Setor Sintético C, Q21, L051, Plano Piloto, DF;ATIVA;ATIVA;2660.77;1900.55;valor;0;0;1;media;1
CASE-0051;SYN-CNPJ-000051;Empresa Sintética 0051;Ceilândia;Setor Sintético D, Q22, L052, Ceilândia, DF;Setor Sintético D, Q22, L052, Ceilândia, DF;BAIXADA;ATIVA;24039.08;24039.08;cadastral;1;0;0;media;1
CASE-0052;SYN-CNPJ-000052;Empresa Sintética 0052;Ceilândia;Setor Sintético E, Q23, L053, Ceilândia, DF;Setor Sintético E, Q23, L053, Ceilândia, DF;ATIVA;ATIVA;15078.36;15078.36;consistente;0;0;0;nenhuma;0
CASE-0053;SYN-CNPJ-000053;Empresa Sintética 0053;Águas Claras;Setor Sintético Divergente, Q04, L054, Águas Claras, DF;Setor Sintético F, Q24, L054, Águas Claras, DF;BAIXADA;BAIXADA;3437.22;3437.22;territorial;0;1;0;media;1
CASE-0054;SYN-CNPJ-000054;Empresa Sintética 0054;Águas Claras;Setor Sintético Divergente, Q05, L055, Águas Claras, DF;Setor Sintético A, Q25, L055, Águas Claras, DF;BAIXADA;ATIVA;22728.53;15674.85;multiplas;1;1;1;alta;1
CASE-0055;SYN-CNPJ-000055;Empresa Sintética 0055;Samambaia;Setor Sintético Divergente, Q06, L056, Samambaia, DF;Setor Sintético B, Q26, L056, Samambaia, DF;ATIVA;ATIVA;5504.35;5504.35;territorial;0;1;0;media;1
CASE-0056;SYN-CNPJ-000056;Empresa Sintética 0056;Águas Claras;Setor Sintético C, Q27, L057, Águas Claras, DF;Setor Sintético C, Q27, L057, Águas Claras, DF;ATIVA;ATIVA;12745.94;10196.75;valor;0;0;1;media;1
CASE-0057;SYN-CNPJ-000057;Empresa Sintética 0057;Taguatinga;Setor Sintético D, Q28, L058, Taguatinga, DF;Setor Sintético D, Q28, L058, Taguatinga, DF;BAIXADA;ATIVA;11728.0;11728.0;cadastral;1;0;0;media;1
CASE-0058;SYN-CNPJ-000058;Empresa Sintética 0058;Taguatinga;Setor Sintético E, Q29, L059, Taguatinga, DF;Setor Sintético E, Q29, L059, Taguatinga, DF;ATIVA;ATIVA;13670.57;13672.04;ambiguo;0;0;0;baixa;0
CASE-0059;SYN-CNPJ-000059;Empresa Sintética 0059;Taguatinga;Setor Sintético F, Q30, L060, Taguatinga, DF;Setor Sintético F, Q30, L060, Taguatinga, DF;ATIVA;ATIVA;9553.41;9553.41;consistente;0;0;0;nenhuma;0
CASE-0060;SYN-CNPJ-000060;Empresa Sintética 0060;Guará;Setor Sintético A, Q01, L061, Guará, DF;Setor Sintético A, Q01, L061, Guará, DF;ATIVA;ATIVA;16862.65;16862.65;consistente;0;0;0;nenhuma;0
CASE-0061;SYN-CNPJ-000061;Empresa Sintética 0061;Taguatinga;Setor Sintético Divergente, Q12, L062, Taguatinga, DF;Setor Sintético B, Q02, L062, Taguatinga, DF;ATIVA;ATIVA;6979.42;6979.42;territorial;0;1;0;media;1
CASE-0062;SYN-CNPJ-000062;Empresa Sintética 0062;Ceilândia;Setor Sintético Divergente, Q13, L063, Ceilândia, DF;Setor Sintético C, Q03, L063, Ceilândia, DF;BAIXADA;ATIVA;4441.82;7403.03;multiplas;1;1;1;alta;1
CASE-0063;SYN-CNPJ-000063;Empresa Sintética 0063;Águas Claras;Setor Sintético D, Q04, L064, Águas Claras, DF;Setor Sintético D, Q04, L064, Águas Claras, DF;ATIVA;ATIVA;16103.15;12882.52;valor;0;0;1;media;1
CASE-0064;SYN-CNPJ-000064;Empresa Sintética 0064;Plano Piloto;Setor Sintético Divergente, Q15, L065, Plano Piloto, DF;Setor Sintético E, Q05, L065, Plano Piloto, DF;BAIXADA;ATIVA;23257.96;16039.97;multiplas;1;1;1;alta;1
CASE-0065;SYN-CNPJ-000065;Empresa Sintética 0065;Samambaia;Setor Sintético F, Q06, L066, Samambaia, DF;Setor Sintético F, Q06, L066, Samambaia, DF;ATIVA;ATIVA;16109.28;16109.28;consistente;0;0;0;nenhuma;0
CASE-0066;SYN-CNPJ-000066;Empresa Sintética 0066;Sobradinho;Setor Sintético A, Q07, L067, Sobradinho, DF;Setor Sintético A, Q07, L067, Sobradinho, DF;BAIXADA;BAIXADA;14242.22;14242.22;consistente;0;0;0;nenhuma;0
CASE-0067;SYN-CNPJ-000067;Empresa Sintética 0067;Ceilândia;Setor Sintético B, Q08, L068, Ceilândia, DF;Setor Sintético B, Q08, L068, Ceilândia, DF;ATIVA;ATIVA;20947.58;20947.58;consistente;0;0;0;nenhuma;0
CASE-0068;SYN-CNPJ-000068;Empresa Sintética 0068;Ceilândia;Setor Sintético Divergente, Q19, L069, Ceilândia, DF;Setor Sintético C, Q09, L069, Ceilândia, DF;BAIXADA;BAIXADA;3622.42;3622.42;territorial;0;1;0;media;1
CASE-0069;SYN-CNPJ-000069;Empresa Sintética 0069;Plano Piloto;Setor Sintético D, Q10, L070, Plano Piloto, DF;Setor Sintético D, Q10, L070, Plano Piloto, DF;ATIVA;ATIVA;5646.88;5646.88;consistente;0;0;0;nenhuma;0
CASE-0070;SYN-CNPJ-000070;Empresa Sintética 0070;Taguatinga;Setor Sintético E, Q11, L071, Taguatinga, DF;Setor Sintético E, Q11, L071, Taguatinga, DF;ATIVA;ATIVA;19612.85;19612.85;consistente;0;0;0;nenhuma;0
CASE-0071;SYN-CNPJ-000071;Empresa Sintética 0071;Gama;Setor Sintético Divergente, Q22, L002, Gama, DF;Setor Sintético F, Q12, L072, Gama, DF;BAIXADA;ATIVA;13908.73;23181.21;multiplas;1;1;1;alta;1
CASE-0072;SYN-CNPJ-000072;Empresa Sintética 0072;Ceilândia;Setor Sintético Divergente, Q23, L003, Ceilândia, DF;Setor Sintético A, Q13, L073, Ceilândia, DF;ATIVA;BAIXADA;1605.54;1107.27;multiplas;1;1;1;alta;1
CASE-0073;SYN-CNPJ-000073;Empresa Sintética 0073;Gama;Setor Sintético B, Q14, L074, Gama, DF;Setor Sintético B, Q14, L074, Gama, DF;ATIVA;ATIVA;4573.88;7036.74;valor;0;0;1;media;1
CASE-0074;SYN-CNPJ-000074;Empresa Sintética 0074;Plano Piloto;Setor Sintético C, Q15, L075, Plano Piloto, DF;Setor Sintético C, Q15, L075, Plano Piloto, DF;BAIXADA;BAIXADA;5949.63;5949.63;consistente;0;0;0;nenhuma;0
CASE-0075;SYN-CNPJ-000075;Empresa Sintética 0075;Sobradinho;Setor Sintético Divergente, Q01, L006, Sobradinho, DF;Setor Sintético D, Q16, L076, Sobradinho, DF;BAIXADA;ATIVA;4786.31;7977.18;multiplas;1;1;1;alta;1
CASE-0076;SYN-CNPJ-000076;Empresa Sintética 0076;Águas Claras;Setor Sintético E, Q17, L077, Águas Claras, DF;Setor Sintético E, Q17, L077, Águas Claras, DF;BAIXADA;BAIXADA;8542.42;8542.42;consistente;0;0;0;nenhuma;0
CASE-0077;SYN-CNPJ-000077;Empresa Sintética 0077;Guará;Setor Sintético Divergente, Q03, L008, Guará, DF;Setor Sintético F, Q18, L078, Guará, DF;BAIXADA;ATIVA;23513.63;16216.3;multiplas;1;1;1;alta;1
CASE-0078;SYN-CNPJ-000078;Empresa Sintética 0078;Samambaia;Setor Sintético Divergente, Q04, L009, Samambaia, DF;Setor Sintético A, Q19, L079, Samambaia, DF;ATIVA;ATIVA;3325.87;3325.87;territorial;0;1;0;media;1
CASE-0079;SYN-CNPJ-000079;Empresa Sintética 0079;Ceilândia;Setor Sintético B, Q20, L080, Ceilândia, DF;Setor Sintético B, Q20, L080, Ceilândia, DF;ATIVA;ATIVA;1436.68;1437.3;ambiguo;0;0;0;baixa;0
CASE-0080;SYN-CNPJ-000080;Empresa Sintética 0080;Gama;Setor Sintético C, Q21, L001, Gama, DF;Setor Sintético C, Q21, L001, Gama, DF;ATIVA;ATIVA;7452.97;9937.29;valor;0;0;1;media;1
CASE-0081;SYN-CNPJ-000081;Empresa Sintética 0081;Gama;Setor Sintético D, Q22, L002, Gama, DF;Setor Sintético D, Q22, L002, Gama, DF;ATIVA;ATIVA;13238.05;13238.05;consistente;0;0;0;nenhuma;0
CASE-0082;SYN-CNPJ-000082;Empresa Sintética 0082;Águas Claras;Setor Sintético Divergente, Q08, L013, Águas Claras, DF;Setor Sintético E, Q23, L003, Águas Claras, DF;BAIXADA;ATIVA;16046.85;11066.79;multiplas;1;1;1;alta;1
CASE-0083;SYN-CNPJ-000083;Empresa Sintética 0083;Taguatinga;Setor Sintético Divergente, Q09, L014, Taguatinga, DF;Setor Sintético F, Q24, L004, Taguatinga, DF;ATIVA;ATIVA;12924.5;12924.5;territorial;0;1;0;media;1
CASE-0084;SYN-CNPJ-000084;Empresa Sintética 0084;Samambaia;Setor Sintético Divergente, Q10, L015, Samambaia, DF;Setor Sintético A, Q25, L005, Samambaia, DF;BAIXADA;BAIXADA;17581.61;17581.61;territorial;0;1;0;media;1
CASE-0085;SYN-CNPJ-000085;Empresa Sintética 0085;Águas Claras;Setor Sintético Divergente, Q11, L016, Águas Claras, DF;Setor Sintético B, Q26, L006, Águas Claras, DF;BAIXADA;BAIXADA;16790.77;16790.77;territorial;0;1;0;media;1
CASE-0086;SYN-CNPJ-000086;Empresa Sintética 0086;Ceilândia;Setor Sintético C, Q27, L007, Ceilândia, DF;Setor Sintético C, Q27, L007, Ceilândia, DF;ATIVA;ATIVA;10448.84;10448.84;consistente;0;0;0;nenhuma;0
CASE-0087;SYN-CNPJ-000087;Empresa Sintética 0087;Guará;Setor Sintético Divergente, Q13, L018, Guará, DF;Setor Sintético D, Q28, L008, Guará, DF;BAIXADA;ATIVA;8191.75;5649.48;multiplas;1;1;1;alta;1
CASE-0088;SYN-CNPJ-000088;Empresa Sintética 0088;Sobradinho;Setor Sintético E, Q29, L009, Sobradinho, DF;Setor Sintético E, Q29, L009, Sobradinho, DF;BAIXADA;ATIVA;13023.76;13023.76;cadastral;1;0;0;media;1
CASE-0089;SYN-CNPJ-000089;Empresa Sintética 0089;Ceilândia;Setor Sintético F, Q30, L010, Ceilândia, DF;Setor Sintético F, Q30, L010, Ceilândia, DF;ATIVA;ATIVA;9315.96;7452.77;valor;0;0;1;media;1
CASE-0090;SYN-CNPJ-000090;Empresa Sintética 0090;Águas Claras;Setor Sintético A, Q01, L011, Águas Claras, DF;Setor Sintético A, Q01, L011, Águas Claras, DF;ATIVA;ATIVA;6003.7;6003.7;consistente;0;0;0;nenhuma;0
CASE-0091;SYN-CNPJ-000091;Empresa Sintética 0091;Plano Piloto;Setor Sintético B, Q02, L012, Plano Piloto, DF;Setor Sintético B, Q02, L012, Plano Piloto, DF;ATIVA;ATIVA;6498.64;6498.64;consistente;0;0;0;nenhuma;0
CASE-0092;SYN-CNPJ-000092;Empresa Sintética 0092;Taguatinga;Setor Sintético C, Q03, L013, Taguatinga, DF;Setor Sintético C, Q03, L013, Taguatinga, DF;ATIVA;BAIXADA;10653.8;10653.8;cadastral;1;0;0;media;1
CASE-0093;SYN-CNPJ-000093;Empresa Sintética 0093;Águas Claras;Setor Sintético Divergente, Q19, L024, Águas Claras, DF;Setor Sintético D, Q04, L014, Águas Claras, DF;BAIXADA;BAIXADA;12612.24;12612.24;territorial;0;1;0;media;1
CASE-0094;SYN-CNPJ-000094;Empresa Sintética 0094;Plano Piloto;Setor Sintético E, Q05, L015, Plano Piloto, DF;Setor Sintético E, Q05, L015, Plano Piloto, DF;ATIVA;ATIVA;19571.3;19571.3;consistente;0;0;0;nenhuma;0
CASE-0095;SYN-CNPJ-000095;Empresa Sintética 0095;Sobradinho;Setor Sintético F, Q06, L016, Sobradinho, DF;Setor Sintético F, Q06, L016, Sobradinho, DF;ATIVA;ATIVA;14156.44;14156.44;consistente;0;0;0;nenhuma;0
CASE-0096;SYN-CNPJ-000096;Empresa Sintética 0096;Taguatinga;Setor Sintético Divergente, Q22, L027, Taguatinga, DF;Setor Sintético A, Q07, L017, Taguatinga, DF;ATIVA;BAIXADA;5461.87;3766.81;multiplas;1;1;1;alta;1
CASE-0097;SYN-CNPJ-000097;Empresa Sintética 0097;Samambaia;Setor Sintético Divergente, Q23, L028, Samambaia, DF;Setor Sintético B, Q08, L018, Samambaia, DF;BAIXADA;BAIXADA;15509.98;15509.98;territorial;0;1;0;media;1
CASE-0098;SYN-CNPJ-000098;Empresa Sintética 0098;Gama;Setor Sintético C, Q09, L019, Gama, DF;Setor Sintético C, Q09, L019, Gama, DF;BAIXADA;BAIXADA;31474.24;22481.6;valor;0;0;1;media;1
CASE-0099;SYN-CNPJ-000099;Empresa Sintética 0099;Águas Claras;Setor Sintético D, Q10, L020, Águas Claras, DF;Setor Sintético D, Q10, L020, Águas Claras, DF;BAIXADA;ATIVA;19262.44;19262.44;cadastral;1;0;0;media;1
CASE-0100;SYN-CNPJ-000100;Empresa Sintética 0100;Águas Claras;Setor Sintético E, Q11, L021, Águas Claras, DF;Setor Sintético E, Q11, L021, Águas Claras, DF;BAIXADA;ATIVA;11276.88;11276.88;cadastral;1;0;0;media;1
CASE-0101;SYN-CNPJ-000101;Empresa Sintética 0101;Águas Claras;Setor Sintético F, Q12, L022, Águas Claras, DF;Setor Sintético F, Q12, L022, Águas Claras, DF;ATIVA;ATIVA;5673.37;8728.26;valor;0;0;1;media;1
CASE-0102;SYN-CNPJ-000102;Empresa Sintética 0102;Águas Claras;Setor Sintético A, Q13, L023, Águas Claras, DF;Setor Sintético A, Q13, L023, Águas Claras, DF;BAIXADA;BAIXADA;17501.77;17501.77;consistente;0;0;0;nenhuma;0
CASE-0103;SYN-CNPJ-000103;Empresa Sintética 0103;Taguatinga;Setor Sintético B, Q14, L024, Taguatinga, DF;Setor Sintético B, Q14, L024, Taguatinga, DF;BAIXADA;BAIXADA;14680.65;10486.18;valor;0;0;1;media;1
CASE-0104;SYN-CNPJ-000104;Empresa Sintética 0104;Águas Claras;Setor Sintético C, Q15, L025, Águas Claras, DF;Setor Sintético C, Q15, L025, Águas Claras, DF;ATIVA;BAIXADA;10042.18;10042.18;cadastral;1;0;0;media;1
CASE-0105;SYN-CNPJ-000105;Empresa Sintética 0105;Plano Piloto;Setor Sintético D, Q16, L026, Plano Piloto, DF;Setor Sintético D, Q16, L026, Plano Piloto, DF;BAIXADA;BAIXADA;15232.5;12186.0;valor;0;0;1;media;1
CASE-0106;SYN-CNPJ-000106;Empresa Sintética 0106;Gama;Setor Sintético E, Q17, L027, Gama, DF;Setor Sintético E, Q17, L027, Gama, DF;BAIXADA;BAIXADA;13686.4;13686.4;consistente;0;0;0;nenhuma;0
